                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.34162,                0.32049,                 0.9182,                0.88417,                0.90262,                0.94241,                0.83741,                0.49461,                 0.4599,                 1.0291,             0.00024137,             0.00024137,             0.00024137
                     96,                0.35516,                  0.321,                0.91138,                0.92796,                0.77105,                0.91489,                0.80934,                0.47043,                0.51729,                 1.0075,             0.00023725,             0.00023725,             0.00023725
                     97,                0.36401,                0.32401,                0.92041,                  0.846,                0.90951,                0.93156,                 0.8367,                 0.4613,                0.48803,                0.99722,             0.00023313,             0.00023313,             0.00023313
                     98,                0.33573,                0.29327,                0.90441,                 0.9265,                0.92274,                   0.94,                0.85555,                0.48828,                0.46977,                 1.0122,               0.000229,               0.000229,               0.000229
                     99,                0.34614,                0.31295,                0.91707,                0.87854,                0.91848,                0.94489,                0.87249,                0.44677,                0.46463,                0.97633,             0.00022488,             0.00022488,             0.00022488
                    100,                0.34468,                0.32542,                0.91209,                0.89042,                0.92971,                0.94525,                0.87327,                0.42936,                 0.4274,                0.96342,             0.00022075,             0.00022075,             0.00022075
                    101,                0.34133,                0.31284,                0.91229,                 0.8937,                0.91035,                0.94474,                0.87783,                0.43125,                0.39432,                0.96685,             0.00021662,             0.00021662,             0.00021662
                    102,                0.33747,                0.30807,                0.90969,                0.84069,                0.93056,                0.93033,                0.85101,                0.44587,                0.46233,                0.98284,              0.0002125,              0.0002125,              0.0002125
                    103,                0.34733,                0.30786,                 0.9109,                0.73702,                0.93085,                0.93598,                0.85277,                0.46561,                0.42934,                 1.0089,             0.00020837,             0.00020837,             0.00020837
                    104,                0.33719,                0.30006,                0.91163,                0.90704,                0.90898,                0.94633,                0.86984,                0.45641,                0.43053,                0.99283,             0.00020425,             0.00020425,             0.00020425
                    105,                0.35058,                0.31453,                 0.9167,                 0.9424,                0.90246,                0.95074,                0.87401,                0.43048,                0.41474,                0.95629,             0.00020013,             0.00020013,             0.00020013
                    106,                0.32721,                0.28605,                0.90184,                 0.8382,                0.94049,                0.94988,                0.86997,                0.42068,                0.44508,                 0.9467,               0.000196,               0.000196,               0.000196
                    107,                0.34711,                0.30958,                0.91951,                0.90339,                0.92785,                0.94544,                0.89313,                0.42375,                0.41671,                0.95126,             0.00019188,             0.00019188,             0.00019188
                    108,                0.31743,                0.27585,                0.90141,                0.95442,                0.89764,                0.94184,                0.85826,                0.45829,                0.43197,                0.99315,             0.00018775,             0.00018775,             0.00018775
